PassengerId,Survived
892,0
893,1
894,1
895,1
896,0
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,1
910,0
911,0
912,0
913,1
914,1
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,1
925,1
926,1
927,0
928,0
929,0
930,1
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,1
942,0
943,1
944,1
945,0
946,1
947,0
948,1
949,0
950,0
951,0
952,1
953,1
954,0
955,1
956,1
957,1
958,0
959,1
960,0
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,0
975,0
976,1
977,0
978,0
979,1
980,0
981,0
982,1
983,1
984,1
985,0
986,0
987,1
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,1
1067,0
1068,1
1069,1
1070,0
1071,0
1072,1
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,1
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,1
1149,0
1150,1
1151,0
1152,1
1153,1
1154,1
1155,0
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,1
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,1
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,1
1208,1
1209,0
1210,1
1211,0
1212,0
1213,0
1214,0
1215,0
1216,1
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,0
1227,1
1228,0
1229,0
1230,1
1231,1
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,1
1243,0
1244,1
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,1
1254,1
1255,1
1256,0
1257,0
1258,0
1259,0
1260,1
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,1
1268,1
1269,0
1270,0
1271,1
1272,0
1273,1
1274,1
1275,0
1276,0
1277,1
1278,1
1279,0
1280,1
1281,1
1282,0
1283,0
1284,1
1285,1
1286,1
1287,0
1288,1
1289,0
1290,0
1291,0
1292,1
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,1
1300,0
1301,0
1302,1
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,0
